2013,6,26,2,5,0
Time,Allston North Bus Pos Seq Mag,Allston North Bus Pos Seq Ang,Allston South Bus Pos Seq Mag,Allston South Bus Pos Seq Ang,Alvey Dixonville Line Pos Seq Mag,Alvey Dixonville Line Pos Seq Ang,Alvey Marion Line Pos Seq Mag,Alvey Marion Line Pos Seq Ang,Big Eddy West Bus Pos Seq Mag,Big Eddy West Bus Pos Seq Ang,Big Eddy East Bus Pos Seq Mag,Big Eddy East Bus Pos Seq Ang,Captain Jack West Bus Pos Seq Mag,Captain Jack West Bus Pos Seq Ang,Captain Jack East Bus Pos Seq Mag,Captain Jack East Bus Pos Seq Ang,Central Ferry West Bus Pos Seq Mag,Central Ferry West Bus Pos Seq Ang,Central Ferry East Bus Pos Seq Mag,Central Ferry East Bus Pos Seq Ang,Custer North Bus Pos Seq Mag,Custer North Bus Pos Seq Ang,Custer South Bus Pos Seq Mag,Custer South Bus Pos Seq Ang,Echo Lake North Bus Pos Seq Mag,Echo Lake North Bus Pos Seq Ang,Echo Lake South Bus Pos Seq Mag,Echo Lake South Bus Pos Seq Ang,Garrison West Bus Pos Seq Mag,Garrison West Bus Pos Seq Ang,Garrison East Bus Pos Seq Mag,Garrison East Bus Pos Seq Ang,Grizzly North Bus Pos Seq Mag,Grizzly North Bus Pos Seq Ang,Grizzly South Bus Pos Seq Mag,Grizzly South Bus Pos Seq Ang,John Day West Bus Pos Seq Mag,John Day West Bus Pos Seq Ang,John Day East Bus Pos Seq Mag,John Day East Bus Pos Seq Ang,Keeler West Bus Pos Seq Mag,Keeler West Bus Pos Seq Ang,Keeler Allston Line Pos Seq Mag,Keeler Allston Line Pos Seq Ang,Malin North Bus Pos Seq Mag,Malin North Bus Pos Seq Ang,Malin South Bus Pos Seq Mag,Malin South Bus Pos Seq Ang,Marion North Bus Pos Seq Mag,Marion North Bus Pos Seq Ang,Marion South Bus Pos Seq Mag,Marion South Bus Pos Seq Ang,Monroe North Bus Pos Seq Mag,Monroe North Bus Pos Seq Ang,Monroe South Bus Pos Seq Mag,Monroe South Bus Pos Seq Ang,Ostrander West Bus Pos Seq Mag,Ostrander West Bus Pos Seq Ang,Ostrander East Bus Pos Seq Mag,Ostrander East Bus Pos Seq Ang,Paul North Bus Pos Seq Mag,Paul North Bus Pos Seq Ang,Paul South Bus Pos Seq Mag,Paul South Bus Pos Seq Ang,Pearl West Bus Pos Seq Mag,Pearl West Bus Pos Seq Ang,Pearl East Bus Pos Seq Mag,Pearl East Bus Pos Seq Ang,Rock Creek West Bus Pos Seq Mag,Rock Creek West Pos Seq Ang,Rock Creek Wautoma Line Pos Seq Mag,Rock Creek Wautoma Line Pos Seq Ang,Summer Lake Grizzly Line Pos Seq Mag,Summer Lake Grizzly Line Pos Seq Ang,Summer Lake Hemingway Line Pos Seq Mag,Summer Lake Hemingway Line Pos Seq Ang,Wautoma West Bus Pos Seq Mag,Wautoma West Bus Pos Seq Ang,Wautoma East Bus Pos Seq Mag,Wautoma East Bus Pos Seq Ang
0,538.38,-57.0806,539.199,-57.0986,552.358,-68.1769,552.816,-68.1911,543.997,-60.4599,543.155,-60.2834,548.18,-75.5829,548.074,-75.5894,545.872,-44.3669,545.658,-44.3634,550.012,-52.8261,533.475,-52.9208,540.635,-47.7982,540.477,-47.7893,549.641,-26.0079,549.699,-26.01,540.397,-66.0454,547.529,-66.1737,544.55,-58.9417,544.334,-58.9706,535.487,-61.0764,534.678,-60.917,547.437,-75.7219,547.417,-75.712,549.622,-64.9815,549.287,-64.9602,541.423,-48.9399,542.421,-48.9651,536.079,-61.0002,536.23,-61.0092,542.611,-53.7995,542.804,-53.8258,538.123,-61.9338,537.504,-61.93,543.928,-56.4187,544.433,-56.4212,548.803,-71.1733,0,0,543.234,-46.2079,543.175,-46.2209
0.0166667,538.457,-57.0256,539.276,-57.0436,552.374,-68.1244,552.832,-68.1386,544.043,-60.405,543.166,-60.2262,548.184,-75.5269,548.109,-75.5389,545.877,-44.3155,545.694,-44.3088,549.998,-52.7683,533.495,-52.8641,540.64,-47.743,540.515,-47.7371,549.646,-25.9574,549.704,-25.9595,540.432,-65.9918,547.564,-66.1208,544.551,-58.8886,544.335,-58.9174,535.667,-61.0129,534.822,-60.8512,547.482,-75.667,547.419,-75.656,549.627,-64.9269,549.332,-64.9075,541.45,-48.8878,542.449,-48.913,536.201,-60.9387,536.352,-60.9476,542.657,-53.7464,542.876,-53.769,538.294,-61.8703,537.637,-61.8643,543.952,-56.3656,544.456,-56.3681,548.793,-71.1204,0,0,543.254,-46.1529,543.195,-46.166
0.0333333,538.449,-56.9591,539.268,-56.9773,552.407,-68.0677,552.865,-68.0819,544.015,-60.3456,543.177,-60.169,548.188,-75.4709,548.113,-75.4829,545.914,-44.2609,545.701,-44.2509,550.019,-52.7133,533.48,-52.8046,540.675,-47.6843,540.55,-47.6785,549.69,-25.905,549.709,-25.9091,540.428,-65.9364,547.576,-66.0619,544.575,-58.8315,544.358,-58.8604,535.637,-60.9422,534.794,-60.7805,547.474,-75.6153,547.423,-75.5999,549.651,-64.8683,549.317,-64.847,541.474,-48.8292,542.472,-48.8545,536.172,-60.8681,536.361,-60.8794,542.685,-53.6805,542.878,-53.7069,538.236,-61.7938,537.617,-61.7899,543.963,-56.3061,544.444,-56.3125,548.798,-71.0633,0,0,543.274,-46.098,543.245,-46.1077
0.05,538.395,-56.9004,539.214,-56.9187,552.361,-68.0076,552.819,-68.0219,543.988,-60.2862,543.152,-60.1095,548.182,-75.4193,548.076,-75.4258,545.922,-44.203,545.678,-44.1962,550.032,-52.652,533.527,-52.7441,540.711,-47.6257,540.586,-47.6198,549.696,-25.8545,549.715,-25.8586,540.385,-65.879,547.532,-66.0053,544.54,-58.776,544.323,-58.8049,535.469,-60.8792,534.665,-60.7196,547.436,-75.5582,547.415,-75.5482,549.619,-64.8119,549.303,-64.7864,541.466,-48.7675,542.464,-48.793,536.042,-60.8074,536.231,-60.8187,542.628,-53.6193,542.821,-53.6457,538.077,-61.7377,537.458,-61.7336,543.916,-56.2479,544.42,-56.2505,548.789,-71.0104,0,0,543.264,-46.0399,543.235,-46.0496
0.0666667,538.318,-56.8455,539.173,-56.8664,552.379,-67.9551,552.796,-67.9677,543.977,-60.2331,543.105,-60.054,548.187,-75.3633,548.071,-75.3742,545.898,-44.1484,545.686,-44.1384,550.011,-52.5879,533.479,-52.6818,540.686,-47.5673,540.561,-47.5614,549.683,-25.8,549.741,-25.8021,540.383,-65.8235,547.528,-65.9506,544.542,-58.7229,544.288,-58.7493,535.39,-60.8374,534.549,-60.6754,547.44,-75.5021,547.419,-75.4922,549.626,-64.7573,549.292,-64.7359,541.492,-48.7089,542.489,-48.7345,535.985,-60.7615,536.136,-60.7706,542.59,-53.5709,542.808,-53.5936,537.974,-61.6899,537.356,-61.6858,543.904,-56.1923,544.409,-56.1949,548.794,-70.9532,0,0,543.254,-45.9818,543.195,-45.9948
0.0833333,538.35,-56.7982,539.169,-56.8166,552.357,-67.9008,552.799,-67.9194,543.967,-60.1799,543.134,-60.003,548.182,-75.3117,548.065,-75.3226,545.876,-44.0937,545.693,-44.0869,550.026,-52.5266,533.493,-52.6185,540.693,-47.5121,540.568,-47.5062,549.69,-25.7496,549.748,-25.7517,540.363,-65.7723,547.507,-65.8999,544.545,-58.6698,544.291,-58.6962,535.429,-60.7919,534.589,-60.6299,547.433,-75.4504,547.413,-75.4405,549.615,-64.7069,549.281,-64.6854,541.485,-48.6473,542.482,-48.673,536.024,-60.7161,536.175,-60.7252,542.577,-53.5188,542.795,-53.5415,538.045,-61.6468,537.406,-61.6467,543.93,-56.1391,544.434,-56.1418,548.786,-70.9003,0,0,543.215,-45.9269,543.217,-45.9398
0.1,538.407,-56.747,539.225,-56.7655,552.376,-67.8483,552.817,-67.8669,544.016,-60.125,543.163,-59.952,548.177,-75.2601,548.114,-75.2677,545.915,-44.0391,545.671,-44.0322,550.041,-52.4652,533.507,-52.5553,540.699,-47.4504,540.544,-47.4478,549.697,-25.6991,549.755,-25.7012,540.401,-65.7187,547.544,-65.847,544.549,-58.6167,544.354,-58.6415,535.548,-60.7407,534.71,-60.5786,547.469,-75.3999,547.408,-75.3888,549.623,-64.6523,549.328,-64.6328,541.482,-48.5921,542.508,-48.6145,536.106,-60.6627,536.257,-60.6717,542.626,-53.4657,542.818,-53.4921,538.157,-61.5956,537.518,-61.5955,543.956,-56.086,544.46,-56.0888,548.82,-70.8488,0,0,543.237,-45.872,543.208,-45.8817
0.116667,538.451,-56.6895,539.269,-56.708,552.396,-67.7958,552.853,-67.8103,544.066,-60.0702,543.177,-59.8948,548.184,-75.2041,548.12,-75.2117,545.923,-43.9877,545.711,-43.9777,550.049,-52.3976,533.522,-52.4921,540.707,-47.3951,540.582,-47.3892,549.744,-25.6467,549.763,-25.6508,540.399,-65.6632,547.542,-65.7923,544.575,-58.5596,544.358,-58.5884,535.634,-60.6768,534.798,-60.5146,547.475,-75.3439,547.413,-75.3328,549.631,-64.5978,549.337,-64.5782,541.506,-48.527,542.502,-48.5529,536.172,-60.6029,536.323,-60.612,542.667,-53.4062,542.893,-53.4354,538.235,-61.5319,537.596,-61.5317,543.946,-56.0304,544.45,-56.0331,548.813,-70.7959,0,0,543.29,-45.8138,543.231,-45.8268
0.133333,538.483,-56.6256,539.301,-56.6442,552.432,-67.7391,552.849,-67.7519,544.078,-60.013,543.191,-59.8376,548.192,-75.1482,548.128,-75.1558,545.933,-43.9299,545.721,-43.9198,550.065,-52.3363,533.538,-52.4289,540.714,-47.3334,540.589,-47.3274,549.733,-25.5922,549.752,-25.5963,540.399,-65.6077,547.557,-65.7334,544.602,-58.5026,544.348,-58.5289,535.625,-60.6125,534.769,-60.4542,547.481,-75.2878,547.419,-75.2767,549.659,-64.5392,549.365,-64.5196,541.501,-48.4654,542.497,-48.4914,536.201,-60.5409,536.352,-60.55,542.682,-53.3505,542.899,-53.3732,538.255,-61.4701,537.615,-61.4698,543.961,-55.9709,544.501,-55.9763,548.82,-70.7388,0,0,543.283,-45.7556,543.253,-45.7654
0.15,538.445,-56.5732,539.286,-56.5881,552.412,-67.6848,552.869,-67.6994,544.07,-59.9599,543.206,-59.7804,548.2,-75.0922,548.082,-75.103,545.944,-43.872,545.7,-43.8651,550.083,-52.2749,533.554,-52.3656,540.753,-47.2748,540.628,-47.2688,549.741,-25.5417,549.76,-25.5458,540.398,-65.5522,547.556,-65.6787,544.57,-58.4471,544.352,-58.4758,535.59,-60.5625,534.757,-60.4001,547.477,-75.2361,547.415,-75.2251,549.669,-64.4846,549.336,-64.4631,541.529,-48.4068,542.525,-48.4329,536.151,-60.4847,536.318,-60.5001,542.662,-53.2919,542.879,-53.3147,538.233,-61.4164,537.594,-61.4161,543.988,-55.9178,544.492,-55.9207,548.828,-70.6816,0,0,543.276,-45.6975,543.246,-45.7072
