2013,8,10,7,26,0
Time,Allston North Bus Pos Seq Mag,Allston North Bus Pos Seq Ang,Allston South Bus Pos Seq Mag,Allston South Bus Pos Seq Ang,Alvey Dixonville Line Pos Seq Mag,Alvey Dixonville Line Pos Seq Ang,Alvey Marion Line Pos Seq Mag,Alvey Marion Line Pos Seq Ang,Big Eddy West Bus Pos Seq Mag,Big Eddy West Bus Pos Seq Ang,Big Eddy East Bus Pos Seq Mag,Big Eddy East Bus Pos Seq Ang,Captain Jack West Bus Pos Seq Mag,Captain Jack West Bus Pos Seq Ang,Captain Jack East Bus Pos Seq Mag,Captain Jack East Bus Pos Seq Ang,Central Ferry West Bus Pos Seq Mag,Central Ferry West Bus Pos Seq Ang,Central Ferry East Bus Pos Seq Mag,Central Ferry East Bus Pos Seq Ang,Custer North Bus Pos Seq Mag,Custer North Bus Pos Seq Ang,Custer South Bus Pos Seq Mag,Custer South Bus Pos Seq Ang,Echo Lake North Bus Pos Seq Mag,Echo Lake North Bus Pos Seq Ang,Echo Lake South Bus Pos Seq Mag,Echo Lake South Bus Pos Seq Ang,Garrison West Bus Pos Seq Mag,Garrison West Bus Pos Seq Ang,Garrison East Bus Pos Seq Mag,Garrison East Bus Pos Seq Ang,Grizzly North Bus Pos Seq Mag,Grizzly North Bus Pos Seq Ang,Grizzly South Bus Pos Seq Mag,Grizzly South Bus Pos Seq Ang,John Day West Bus Pos Seq Mag,John Day West Bus Pos Seq Ang,John Day East Bus Pos Seq Mag,John Day East Bus Pos Seq Ang,Keeler West Bus Pos Seq Mag,Keeler West Bus Pos Seq Ang,Keeler Allston Line Pos Seq Mag,Keeler Allston Line Pos Seq Ang,Malin North Bus Pos Seq Mag,Malin North Bus Pos Seq Ang,Malin South Bus Pos Seq Mag,Malin South Bus Pos Seq Ang,Marion North Bus Pos Seq Mag,Marion North Bus Pos Seq Ang,Marion South Bus Pos Seq Mag,Marion South Bus Pos Seq Ang,Monroe North Bus Pos Seq Mag,Monroe North Bus Pos Seq Ang,Monroe South Bus Pos Seq Mag,Monroe South Bus Pos Seq Ang,Ostrander West Bus Pos Seq Mag,Ostrander West Bus Pos Seq Ang,Ostrander East Bus Pos Seq Mag,Ostrander East Bus Pos Seq Ang,Paul North Bus Pos Seq Mag,Paul North Bus Pos Seq Ang,Paul South Bus Pos Seq Mag,Paul South Bus Pos Seq Ang,Pearl West Bus Pos Seq Mag,Pearl West Bus Pos Seq Ang,Pearl East Bus Pos Seq Mag,Pearl East Bus Pos Seq Ang,Rock Creek West Bus Pos Seq Mag,Rock Creek West Pos Seq Ang,Rock Creek Wautoma Line Pos Seq Mag,Rock Creek Wautoma Line Pos Seq Ang,Summer Lake Grizzly Line Pos Seq Mag,Summer Lake Grizzly Line Pos Seq Ang,Summer Lake Hemingway Line Pos Seq Mag,Summer Lake Hemingway Line Pos Seq Ang,Wautoma West Bus Pos Seq Mag,Wautoma West Bus Pos Seq Ang,Wautoma East Bus Pos Seq Mag,Wautoma East Bus Pos Seq Ang
0,539.051,107.904,539.873,107.89,547.483,104.961,547.985,104.947,541.251,111.549,540.918,111.622,544.102,104.74,544.08,104.731,546.717,119.472,546.507,119.48,547.367,100.456,531.211,100.355,540.502,108.778,540.283,108.781,550.747,125.722,550.721,125.718,539.924,109.689,541.097,109.669,542.044,113.138,541.789,113.11,531.07,106.041,530.259,106.193,544.387,104.656,544.367,104.666,542.206,106.852,541.871,106.877,539.453,106.158,540.422,106.133,533.011,106.976,533.247,106.964,542.252,109.873,542.548,109.852,535.102,105.965,534.376,105.963,544.277,113.773,544.783,113.77,543.205,108.305,0,0,0,0,0,0
0.0166667,539.019,107.803,539.87,107.784,547.458,104.863,547.949,104.845,541.24,111.446,540.866,111.52,544.081,104.641,544.059,104.632,546.728,119.373,546.518,119.38,547.373,100.359,531.219,100.255,540.497,108.676,540.278,108.679,550.75,125.622,550.76,125.616,539.904,109.587,541.092,109.572,542.023,113.04,541.768,113.012,531.057,105.934,530.256,106.091,544.367,104.558,544.347,104.568,542.192,106.752,541.856,106.777,539.463,106.062,540.42,106.033,532.995,106.874,533.231,106.862,542.229,109.772,542.525,109.751,535.079,105.855,534.365,105.857,544.286,113.673,544.752,113.672,543.181,108.21,0,0,0,0,0,0
0.0333333,539.031,107.701,539.895,107.687,547.466,104.759,547.968,104.746,541.246,111.347,540.911,111.42,544.104,104.542,544.082,104.533,546.719,119.269,546.492,119.283,547.373,100.257,531.236,100.159,540.508,108.579,540.289,108.582,550.729,125.518,550.764,125.516,539.94,109.488,541.074,109.47,542.044,112.94,541.789,112.911,531.1,105.831,530.296,105.987,544.391,104.458,544.371,104.468,542.221,106.651,541.872,106.671,539.461,105.962,540.419,105.933,533.022,106.771,533.258,106.759,542.248,109.669,542.504,109.65,535.081,105.754,534.409,105.755,544.296,113.573,544.762,113.572,543.185,108.109,0,0,0,0,0,0
0.05,539.07,107.608,539.922,107.589,547.497,104.665,548.042,104.65,541.31,111.251,540.934,111.325,544.096,104.448,544.117,104.438,546.733,119.17,546.544,119.181,547.382,100.161,531.247,100.06,540.506,108.477,540.301,108.484,550.77,125.416,550.806,125.413,539.993,109.394,541.127,109.376,542.083,112.843,541.829,112.815,531.179,105.741,530.373,105.897,544.375,104.36,544.407,104.373,542.305,106.552,541.927,106.579,539.462,105.861,540.432,105.837,533.075,106.677,533.312,106.665,542.257,109.577,542.54,109.551,535.203,105.663,534.489,105.665,544.325,113.477,544.831,113.474,543.246,108.01,0,0,0,0,0,0
0.0666667,539.124,107.52,539.989,107.505,547.583,104.574,548.086,104.56,541.352,111.161,541.015,111.233,544.133,104.353,544.111,104.344,546.77,119.074,546.559,119.081,547.401,100.068,531.266,99.9644,540.534,108.384,540.315,108.387,550.753,125.312,550.789,125.309,540.047,109.299,541.182,109.282,542.14,112.752,541.886,112.723,531.242,105.662,530.476,105.816,544.412,104.265,544.402,104.279,542.345,106.47,541.996,106.491,539.476,105.765,540.446,105.741,533.167,106.597,533.404,106.584,542.309,109.482,542.606,109.462,535.32,105.588,534.606,105.59,544.355,113.382,544.861,113.379,543.281,107.918,0,0,0,0,0,0
0.0833333,539.15,107.437,540.003,107.418,547.555,104.49,548.1,104.475,541.353,111.072,541.015,111.145,544.128,104.259,544.107,104.25,546.77,118.981,546.56,118.988,547.413,99.9712,531.245,99.87,540.563,108.291,540.344,108.294,550.798,125.209,550.834,125.207,540.021,109.208,541.156,109.19,542.102,112.659,541.889,112.629,531.264,105.584,530.454,105.739,544.42,104.176,544.399,104.185,542.374,106.383,541.995,106.409,539.503,105.674,540.462,105.645,533.177,106.519,533.414,106.506,542.335,109.394,542.592,109.375,535.301,105.511,534.588,105.513,544.364,113.292,544.87,113.289,543.276,107.827,0,0,0,0,0,0
0.1,539.111,107.346,539.922,107.329,547.517,104.402,548.01,104.384,541.326,110.975,540.946,111.049,544.126,104.165,544.104,104.156,546.751,118.883,546.562,118.894,547.384,99.8751,531.268,99.7748,540.538,108.195,540.333,108.203,550.835,125.113,550.845,125.107,539.997,109.116,541.131,109.099,542.106,112.565,541.853,112.536,531.18,105.499,530.356,105.65,544.366,104.078,544.398,104.092,542.267,106.296,541.93,106.321,539.478,105.579,540.449,105.555,533.11,106.429,533.347,106.416,542.267,109.305,542.565,109.284,535.207,105.423,534.493,105.424,544.358,113.198,544.847,113.191,543.258,107.732,0,0,0,0,0,0
0.116667,539.035,107.243,539.846,107.226,547.438,104.297,547.942,104.283,541.259,110.88,540.919,110.952,544.072,104.067,544.04,104.054,546.734,118.786,546.544,118.797,547.407,99.7827,531.25,99.6804,540.516,108.1,540.296,108.102,550.823,125.009,550.858,125.007,539.945,109.016,541.08,108.999,542.054,112.468,541.801,112.439,531.04,105.392,530.267,105.546,544.356,103.98,544.335,103.99,542.208,106.193,541.871,106.218,539.497,105.483,540.457,105.455,533.008,106.325,533.245,106.313,542.253,109.203,542.511,109.184,535.068,105.316,534.354,105.318,544.279,113.097,544.785,113.095,543.189,107.633,0,0,0,0,0,0
0.133333,539.03,107.132,539.854,107.12,547.403,104.19,547.938,104.171,541.244,110.772,540.903,110.845,544.051,103.964,544.072,103.954,546.735,118.682,546.507,118.695,547.381,99.6866,531.233,99.5859,540.522,107.998,540.303,108.001,550.813,124.906,550.848,124.903,539.963,108.909,541.058,108.893,542.027,112.365,541.775,112.336,531.058,105.275,530.24,105.43,544.336,103.877,544.315,103.887,542.169,106.08,541.831,106.105,539.505,105.383,540.466,105.355,533.008,106.209,533.203,106.198,542.227,109.098,542.526,109.077,535.076,105.196,534.362,105.197,544.282,112.993,544.748,112.992,543.19,107.528,0,0,0,0,0,0
0.15,539.053,107.03,539.906,107.012,547.454,104.081,547.958,104.068,541.246,110.669,540.904,110.742,544.074,103.86,544.054,103.852,546.759,118.583,546.51,118.592,547.4,99.5897,531.253,99.4861,540.544,107.901,540.324,107.904,550.804,124.802,550.84,124.799,539.956,108.807,541.092,108.79,542.043,112.26,541.791,112.232,531.1,105.167,530.321,105.321,544.361,103.773,544.35,103.788,542.209,105.979,541.859,105.999,539.515,105.282,540.446,105.26,533.046,106.106,533.283,106.094,542.258,108.995,542.557,108.974,535.162,105.088,534.448,105.089,544.303,112.893,544.793,112.886,543.206,107.427,0,0,0,0,0,0
