2013,8,10,7,27,0
Time,Allston North Bus Pos Seq Mag,Allston North Bus Pos Seq Ang,Allston South Bus Pos Seq Mag,Allston South Bus Pos Seq Ang,Alvey Dixonville Line Pos Seq Mag,Alvey Dixonville Line Pos Seq Ang,Alvey Marion Line Pos Seq Mag,Alvey Marion Line Pos Seq Ang,Big Eddy West Bus Pos Seq Mag,Big Eddy West Bus Pos Seq Ang,Big Eddy East Bus Pos Seq Mag,Big Eddy East Bus Pos Seq Ang,Captain Jack West Bus Pos Seq Mag,Captain Jack West Bus Pos Seq Ang,Captain Jack East Bus Pos Seq Mag,Captain Jack East Bus Pos Seq Ang,Central Ferry West Bus Pos Seq Mag,Central Ferry West Bus Pos Seq Ang,Central Ferry East Bus Pos Seq Mag,Central Ferry East Bus Pos Seq Ang,Custer North Bus Pos Seq Mag,Custer North Bus Pos Seq Ang,Custer South Bus Pos Seq Mag,Custer South Bus Pos Seq Ang,Echo Lake North Bus Pos Seq Mag,Echo Lake North Bus Pos Seq Ang,Echo Lake South Bus Pos Seq Mag,Echo Lake South Bus Pos Seq Ang,Garrison West Bus Pos Seq Mag,Garrison West Bus Pos Seq Ang,Garrison East Bus Pos Seq Mag,Garrison East Bus Pos Seq Ang,Grizzly North Bus Pos Seq Mag,Grizzly North Bus Pos Seq Ang,Grizzly South Bus Pos Seq Mag,Grizzly South Bus Pos Seq Ang,John Day West Bus Pos Seq Mag,John Day West Bus Pos Seq Ang,John Day East Bus Pos Seq Mag,John Day East Bus Pos Seq Ang,Keeler West Bus Pos Seq Mag,Keeler West Bus Pos Seq Ang,Keeler Allston Line Pos Seq Mag,Keeler Allston Line Pos Seq Ang,Malin North Bus Pos Seq Mag,Malin North Bus Pos Seq Ang,Malin South Bus Pos Seq Mag,Malin South Bus Pos Seq Ang,Marion North Bus Pos Seq Mag,Marion North Bus Pos Seq Ang,Marion South Bus Pos Seq Mag,Marion South Bus Pos Seq Ang,Monroe North Bus Pos Seq Mag,Monroe North Bus Pos Seq Ang,Monroe South Bus Pos Seq Mag,Monroe South Bus Pos Seq Ang,Ostrander West Bus Pos Seq Mag,Ostrander West Bus Pos Seq Ang,Ostrander East Bus Pos Seq Mag,Ostrander East Bus Pos Seq Ang,Paul North Bus Pos Seq Mag,Paul North Bus Pos Seq Ang,Paul South Bus Pos Seq Mag,Paul South Bus Pos Seq Ang,Pearl West Bus Pos Seq Mag,Pearl West Bus Pos Seq Ang,Pearl East Bus Pos Seq Mag,Pearl East Bus Pos Seq Ang,Rock Creek West Bus Pos Seq Mag,Rock Creek West Pos Seq Ang,Rock Creek Wautoma Line Pos Seq Mag,Rock Creek Wautoma Line Pos Seq Ang,Summer Lake Grizzly Line Pos Seq Mag,Summer Lake Grizzly Line Pos Seq Ang,Summer Lake Hemingway Line Pos Seq Mag,Summer Lake Hemingway Line Pos Seq Ang,Wautoma West Bus Pos Seq Mag,Wautoma West Bus Pos Seq Ang,Wautoma East Bus Pos Seq Mag,Wautoma East Bus Pos Seq Ang
0,538.986,95.3565,539.797,95.3392,547.429,92.4254,547.942,92.4095,541.074,98.9919,540.741,99.0626,544.077,92.276,544.073,92.2669,546.61,106.826,546.361,106.834,547.189,87.864,531.062,87.7617,540.545,96.1714,540.329,96.1739,550.619,113.071,550.659,113.069,539.594,97.1684,541.05,97.1444,541.906,100.581,541.638,100.554,531.085,93.5012,530.262,93.6519,544.392,92.1926,544.352,92.2019,542.19,94.3054,541.861,94.3309,539.447,93.5574,540.388,93.5328,533.03,94.4308,533.239,94.4198,542.121,97.3101,542.443,97.2873,535.12,93.4236,534.425,93.4234,544.148,101.205,544.666,101.199,543.264,95.796,0,0,0,0,0,0
0.0166667,538.918,95.1769,539.772,95.1595,547.403,92.2486,547.917,92.2329,541.069,98.811,540.699,98.8867,544.099,92.098,544.052,92.089,546.551,106.647,546.356,106.658,547.211,87.6871,531.086,87.5841,540.495,95.9919,540.28,95.9943,550.632,112.889,550.672,112.887,539.564,96.9927,541.02,96.9692,541.862,100.405,541.629,100.372,531.028,93.319,530.203,93.4742,544.374,92.0148,544.377,92.0239,542.152,94.1267,541.822,94.1522,539.432,93.3778,540.373,93.3535,532.948,94.2541,533.201,94.2428,542.124,97.1301,542.403,97.108,535.067,93.2475,534.33,93.2473,544.128,101.029,544.646,101.023,543.229,95.622,0,0,0,0,0,0
0.0333333,538.893,94.9923,539.749,94.9751,547.38,92.0627,547.894,92.0472,541.027,98.6308,540.697,98.7057,544.081,91.9155,544.035,91.9066,546.538,106.468,546.331,106.474,547.197,87.5055,531.071,87.4063,540.494,95.812,540.278,95.8143,550.61,112.709,550.65,112.708,539.533,96.8125,541.032,96.7889,541.85,100.219,541.626,100.191,531.017,93.1319,530.187,93.2868,544.359,91.8325,544.363,91.8461,542.16,93.9431,541.786,93.9688,539.421,93.1982,540.363,93.1742,532.909,94.0677,533.159,94.0518,542.084,96.9462,542.407,96.9236,535.013,93.0574,534.318,93.0567,544.148,100.848,544.624,100.843,543.239,95.4429,0,0,0,0,0,0
0.05,538.918,94.8072,539.774,94.7904,547.363,91.8814,547.877,91.8615,541.07,98.4446,540.695,98.5201,544.07,91.7331,544.067,91.724,546.561,106.283,546.324,106.295,547.187,87.3285,531.064,87.2239,540.493,95.6275,540.282,95.6343,550.633,112.528,550.656,112.522,539.545,96.6271,541.002,96.6045,541.852,100.037,541.628,100.009,531.012,92.9448,530.22,93.0991,544.351,91.6547,544.353,91.6638,542.17,93.755,541.795,93.7806,539.414,93.014,540.356,92.9903,532.959,93.876,533.169,93.8651,542.092,96.7617,542.373,96.7398,535.051,92.8668,534.357,92.8659,544.122,100.663,544.598,100.658,543.25,95.2593,0,0,0,0,0,0
0.0666667,538.948,94.6222,539.761,94.606,547.394,91.6953,547.91,91.6802,541.081,98.2637,540.704,98.3391,544.064,91.5552,544.062,91.5461,546.559,106.103,546.322,106.115,547.186,87.1423,531.062,87.0415,540.503,95.4475,540.287,95.4497,550.605,112.344,550.629,112.338,539.568,96.4463,541.026,96.4243,541.859,99.856,541.636,99.8275,531.057,92.7621,530.218,92.9164,544.347,91.4723,544.349,91.4814,542.189,93.5715,541.814,93.5969,539.414,92.8344,540.357,92.811,532.977,93.6939,533.187,93.6832,542.111,96.5818,542.392,96.5599,535.099,92.6855,534.361,92.6846,544.153,100.481,544.629,100.476,543.223,95.0762,0,0,0,0,0,0
0.0833333,538.944,94.4421,539.758,94.4262,547.389,91.514,547.905,91.499,541.105,98.0873,540.719,98.158,544.063,91.3727,544.061,91.3636,546.551,105.919,546.355,105.93,547.145,86.9605,531.019,86.8634,540.474,95.268,540.302,95.2697,550.583,112.16,550.624,112.158,539.553,96.2661,541.055,96.244,541.878,99.6791,541.657,99.6506,531.065,92.5797,530.264,92.7334,544.349,91.2945,544.351,91.3036,542.173,93.3928,541.84,93.4178,539.377,92.655,540.362,92.6272,532.96,93.5168,533.211,93.5012,542.13,96.3973,542.412,96.3755,535.065,92.5047,534.371,92.5033,544.146,100.3,544.623,100.296,543.249,94.8971,0,0,0,0,0,0
0.1,538.946,94.2621,539.76,94.2464,547.39,91.3326,547.906,91.3178,541.084,97.907,540.696,97.9776,544.069,91.1948,544.066,91.1811,546.561,105.74,546.323,105.751,547.151,86.7834,531.028,86.681,540.495,95.088,540.279,95.0901,550.607,111.974,550.607,111.974,539.543,96.0858,541.046,96.0642,541.853,99.4985,541.632,99.4698,531.037,92.4021,530.232,92.5556,544.356,91.1121,544.358,91.1212,542.162,93.2141,541.828,93.239,539.386,92.4708,540.33,92.4481,532.945,93.335,533.2,93.3241,542.117,96.2179,542.399,96.1962,535.081,92.3236,534.388,92.3266,544.145,100.12,544.622,100.115,543.233,94.714,0,0,0,0,0,0
0.116667,538.952,94.082,539.764,94.062,547.395,91.1513,547.868,91.1322,541.063,97.7222,540.679,97.7972,544.079,91.0124,544.033,90.9988,546.522,105.557,546.325,105.567,547.164,86.6019,531.042,86.4986,540.473,94.9039,540.304,94.9101,550.613,111.794,550.637,111.788,539.492,95.9014,541.038,95.8799,541.869,99.3125,541.606,99.2846,531.056,92.2197,530.246,92.3729,544.325,90.9298,544.327,90.939,542.154,93.0308,541.82,93.0556,539.402,92.2912,540.345,92.2642,532.936,93.1532,533.191,93.1424,542.104,96.0339,542.387,96.0124,535.058,92.1427,534.366,92.1455,544.1,99.9353,544.619,99.9304,543.227,94.5353,0,0,0,0,0,0
0.133333,538.918,93.8977,539.777,93.8823,547.363,90.97,547.88,90.951,541.048,97.5374,540.661,97.6122,544.051,90.83,544.05,90.8209,546.531,105.373,546.334,105.383,547.183,86.4203,531.059,86.3208,540.504,94.724,540.288,94.7259,550.608,111.61,550.648,111.608,539.493,95.7211,540.993,95.696,541.855,99.1319,541.593,99.1038,531.036,92.0374,530.223,92.195,544.343,90.7475,544.344,90.7566,542.152,92.8475,541.817,92.8722,539.379,92.1071,540.368,92.0849,532.932,92.9714,533.187,92.9607,542.102,95.8545,542.385,95.833,535.084,91.9617,534.349,91.9644,544.109,99.7547,544.586,99.7507,543.222,94.3521,0,0,0,0,0,0
0.15,538.893,93.7179,539.748,93.6982,547.337,90.7887,547.854,90.7699,541.001,97.3577,540.655,97.4318,544.029,90.6476,544.028,90.6385,546.504,105.19,546.306,105.201,547.205,86.2432,531.04,86.1381,540.494,94.5399,540.281,94.5463,550.609,111.426,550.609,111.426,539.457,95.5413,541,95.5162,541.803,98.9519,541.585,98.9231,530.98,91.86,530.205,92.0125,544.323,90.5652,544.324,90.5743,542.112,92.6645,541.776,92.6891,539.363,91.9277,540.351,91.9012,532.934,92.7896,533.146,92.7792,542.1,95.6705,542.385,95.6491,535.029,91.7809,534.293,91.7834,544.082,99.5748,544.602,99.5702,543.223,94.1689,0,0,0,0,0,0
