2013,7,16,2,15,0
Time,Allston North Bus Pos Seq Mag,Allston North Bus Pos Seq Ang,Allston South Bus Pos Seq Mag,Allston South Bus Pos Seq Ang,Alvey Dixonville Line Pos Seq Mag,Alvey Dixonville Line Pos Seq Ang,Alvey Marion Line Pos Seq Mag,Alvey Marion Line Pos Seq Ang,Big Eddy West Bus Pos Seq Mag,Big Eddy West Bus Pos Seq Ang,Big Eddy East Bus Pos Seq Mag,Big Eddy East Bus Pos Seq Ang,Captain Jack West Bus Pos Seq Mag,Captain Jack West Bus Pos Seq Ang,Captain Jack East Bus Pos Seq Mag,Captain Jack East Bus Pos Seq Ang,Central Ferry West Bus Pos Seq Mag,Central Ferry West Bus Pos Seq Ang,Central Ferry East Bus Pos Seq Mag,Central Ferry East Bus Pos Seq Ang,Custer North Bus Pos Seq Mag,Custer North Bus Pos Seq Ang,Custer South Bus Pos Seq Mag,Custer South Bus Pos Seq Ang,Echo Lake North Bus Pos Seq Mag,Echo Lake North Bus Pos Seq Ang,Echo Lake South Bus Pos Seq Mag,Echo Lake South Bus Pos Seq Ang,Garrison West Bus Pos Seq Mag,Garrison West Bus Pos Seq Ang,Garrison East Bus Pos Seq Mag,Garrison East Bus Pos Seq Ang,Grizzly North Bus Pos Seq Mag,Grizzly North Bus Pos Seq Ang,Grizzly South Bus Pos Seq Mag,Grizzly South Bus Pos Seq Ang,John Day West Bus Pos Seq Mag,John Day West Bus Pos Seq Ang,John Day East Bus Pos Seq Mag,John Day East Bus Pos Seq Ang,Keeler West Bus Pos Seq Mag,Keeler West Bus Pos Seq Ang,Keeler Allston Line Pos Seq Mag,Keeler Allston Line Pos Seq Ang,Malin North Bus Pos Seq Mag,Malin North Bus Pos Seq Ang,Malin South Bus Pos Seq Mag,Malin South Bus Pos Seq Ang,Marion North Bus Pos Seq Mag,Marion North Bus Pos Seq Ang,Marion South Bus Pos Seq Mag,Marion South Bus Pos Seq Ang,Monroe North Bus Pos Seq Mag,Monroe North Bus Pos Seq Ang,Monroe South Bus Pos Seq Mag,Monroe South Bus Pos Seq Ang,Ostrander West Bus Pos Seq Mag,Ostrander West Bus Pos Seq Ang,Ostrander East Bus Pos Seq Mag,Ostrander East Bus Pos Seq Ang,Paul North Bus Pos Seq Mag,Paul North Bus Pos Seq Ang,Paul South Bus Pos Seq Mag,Paul South Bus Pos Seq Ang,Pearl West Bus Pos Seq Mag,Pearl West Bus Pos Seq Ang,Pearl East Bus Pos Seq Mag,Pearl East Bus Pos Seq Ang,Rock Creek West Bus Pos Seq Mag,Rock Creek West Pos Seq Ang,Rock Creek Wautoma Line Pos Seq Mag,Rock Creek Wautoma Line Pos Seq Ang,Summer Lake Grizzly Line Pos Seq Mag,Summer Lake Grizzly Line Pos Seq Ang,Summer Lake Hemingway Line Pos Seq Mag,Summer Lake Hemingway Line Pos Seq Ang,Wautoma West Bus Pos Seq Mag,Wautoma West Bus Pos Seq Ang,Wautoma East Bus Pos Seq Mag,Wautoma East Bus Pos Seq Ang
0,538.432,-168.048,539.279,-168.068,548.456,-179.855,549.061,-179.878,544.671,-172.747,543.674,-172.564,0,0,0,0,548.112,-158.238,547.927,-158.225,547.053,-161.995,530.862,-162.096,540.54,-162.326,540.403,-162.326,547.011,-145.253,546.986,-145.257,543.533,-177.26,548.177,-177.342,544.832,-170.9,544.742,-170.931,536.624,-174.369,535.818,-174.207,548.828,175.243,548.775,175.257,547.113,-177.024,546.779,-176.999,542.82,-161.585,543.793,-161.61,539.593,-175.056,539.805,-175.062,541.081,-163.643,541.389,-163.662,541.649,-175.975,540.958,-175.97,544.904,-168.56,545.346,-168.56,547.808,177.952,0,0,544.164,-160.093,544.175,-160.103
0.0166667,538.41,-168.015,539.257,-168.034,548.457,-179.819,549.062,-179.842,544.672,-172.711,543.675,-172.527,0,0,0,0,548.12,-158.199,547.919,-158.191,547.037,-161.957,530.886,-162.057,540.522,-162.286,540.426,-162.288,546.995,-145.208,547.006,-145.214,543.506,-177.224,548.148,-177.311,544.844,-170.863,544.704,-170.898,536.654,-174.337,535.806,-174.174,548.843,175.28,548.789,175.293,547.131,-176.988,546.751,-176.967,542.807,-161.546,543.82,-161.572,539.576,-175.023,539.788,-175.03,541.096,-163.606,541.35,-163.628,541.671,-175.943,540.979,-175.938,544.888,-168.522,545.321,-168.527,547.797,177.984,0,0,544.16,-160.054,544.171,-160.064
0.0333333,538.448,-167.973,539.253,-167.992,548.458,-179.783,549.063,-179.806,544.673,-172.674,543.678,-172.49,0,0,0,0,548.088,-158.159,547.903,-158.146,547.034,-161.914,530.869,-162.017,540.545,-162.249,540.408,-162.249,546.99,-145.169,546.965,-145.173,543.523,-177.187,548.167,-177.27,544.814,-170.826,544.716,-170.861,536.688,-174.3,535.841,-174.137,548.858,175.316,548.804,175.329,547.15,-176.951,546.772,-176.927,542.793,-161.507,543.806,-161.533,539.61,-174.982,539.818,-174.993,541.069,-163.566,541.377,-163.586,541.695,-175.907,541.004,-175.901,544.872,-168.485,545.305,-168.489,547.827,178.025,0,0,544.156,-160.015,544.167,-160.025
0.05,538.445,-167.931,539.292,-167.95,548.46,-179.738,549.065,-179.761,544.68,-172.633,543.686,-172.449,0,0,0,0,548.097,-158.12,547.912,-158.108,547.018,-161.875,530.853,-161.977,540.527,-162.21,540.431,-162.211,547.01,-145.126,546.986,-145.13,543.499,-177.146,548.142,-177.229,544.834,-170.785,544.742,-170.815,536.688,-174.254,535.886,-174.091,548.826,175.357,548.816,175.37,547.13,-176.906,546.793,-176.886,542.821,-161.47,543.793,-161.494,539.644,-174.941,539.852,-174.952,541.096,-163.524,541.363,-163.542,541.726,-175.861,541.035,-175.856,544.865,-168.443,545.298,-168.447,547.813,178.066,0,0,544.193,-159.978,544.204,-159.988
0.0666667,538.442,-167.889,539.289,-167.908,548.462,-179.697,549.067,-179.72,544.693,-172.587,543.7,-172.403,0,0,0,0,548.121,-158.078,547.921,-158.069,547.044,-161.838,530.891,-161.935,540.522,-162.166,540.427,-162.168,546.996,-145.081,546.971,-145.085,543.518,-177.105,548.161,-177.188,544.853,-170.744,544.719,-170.774,536.641,-174.211,535.84,-174.049,548.838,175.398,548.784,175.411,547.108,-176.865,546.774,-176.84,542.822,-161.426,543.794,-161.451,539.64,-174.895,539.848,-174.906,541.083,-163.481,541.39,-163.5,541.671,-175.815,541.02,-175.814,544.901,-168.402,545.292,-168.405,547.8,178.107,0,0,544.164,-159.933,544.201,-159.949
0.0833333,538.388,-167.85,539.234,-167.869,548.42,-179.656,549.025,-179.679,544.652,-172.55,543.66,-172.366,0,0,0,0,548.09,-158.037,547.889,-158.029,547.042,-161.795,530.875,-161.895,540.546,-162.128,540.409,-162.128,547.016,-145.038,546.992,-145.042,543.493,-177.068,548.137,-177.147,544.831,-170.702,544.689,-170.736,536.633,-174.174,535.833,-174.012,548.807,175.438,548.753,175.451,547.086,-176.824,546.75,-176.804,542.809,-161.387,543.781,-161.412,539.58,-174.862,539.792,-174.868,541.098,-163.443,541.364,-163.461,541.65,-175.782,540.959,-175.777,544.895,-168.36,545.285,-168.363,547.789,178.143,0,0,544.161,-159.894,544.198,-159.91
0.1,538.418,-167.813,539.265,-167.832,548.423,-179.62,549.027,-179.643,544.654,-172.513,543.663,-172.329,0,0,0,0,548.099,-157.999,547.899,-157.99,547.027,-161.756,530.859,-161.855,540.529,-162.089,540.433,-162.091,547.002,-144.993,546.977,-144.996,543.47,-177.027,548.111,-177.111,544.801,-170.664,544.703,-170.699,536.621,-174.141,535.821,-173.979,548.822,175.475,548.769,175.488,547.105,-176.788,546.769,-176.768,542.797,-161.348,543.809,-161.375,539.568,-174.825,539.776,-174.836,541.073,-163.404,541.338,-163.422,541.63,-175.75,540.939,-175.744,544.88,-168.322,545.313,-168.327,547.777,178.183,0,0,544.158,-159.855,544.154,-159.869
0.116667,538.407,-167.775,539.263,-167.79,548.468,-179.584,549.073,-179.607,544.656,-172.476,543.667,-172.292,0,0,0,0,548.109,-157.96,547.924,-157.947,547.026,-161.713,530.844,-161.815,540.553,-162.051,540.416,-162.051,547.024,-144.95,546.999,-144.954,543.488,-176.99,548.129,-177.075,544.815,-170.628,544.723,-170.658,536.661,-174.1,535.862,-173.937,548.795,175.511,548.742,175.524,547.125,-176.751,546.791,-176.727,542.826,-161.311,543.797,-161.336,539.6,-174.788,539.811,-174.795,541.089,-163.366,541.354,-163.384,541.659,-175.709,540.964,-175.708,544.865,-168.285,545.298,-168.289,547.809,178.22,0,0,544.196,-159.817,544.192,-159.832
0.133333,538.447,-167.733,539.303,-167.748,548.472,-179.539,549.076,-179.562,544.67,-172.43,543.682,-172.246,0,0,0,0,548.095,-157.915,547.894,-157.907,547.053,-161.675,530.87,-161.776,540.536,-162.012,540.4,-162.012,546.985,-144.908,546.985,-144.908,543.508,-176.949,548.151,-177.03,544.836,-170.586,544.744,-170.617,536.658,-174.058,535.861,-173.896,548.808,175.552,548.755,175.565,547.106,-176.706,546.77,-176.686,542.814,-161.272,543.826,-161.298,539.596,-174.742,539.804,-174.753,541.117,-163.324,541.37,-163.346,541.691,-175.663,540.997,-175.662,544.902,-168.244,545.335,-168.248,547.797,178.261,0,0,544.194,-159.779,544.205,-159.789
0.15,538.403,-167.69,539.25,-167.709,548.432,-179.498,549.036,-179.521,544.679,-172.389,543.686,-172.209,0,0,0,0,548.105,-157.877,547.904,-157.868,547.052,-161.632,530.869,-161.732,540.52,-161.973,540.424,-161.974,546.982,-144.869,546.982,-144.869,543.486,-176.908,548.126,-176.993,544.814,-170.544,544.722,-170.575,536.612,-174.016,535.773,-173.853,548.778,175.592,548.725,175.605,547.085,-176.665,546.75,-176.645,542.816,-161.228,543.828,-161.255,539.546,-174.7,539.753,-174.711,541.092,-163.285,541.358,-163.303,541.634,-175.621,540.94,-175.62,544.897,-168.202,545.33,-168.206,547.785,178.301,0,0,544.192,-159.74,544.203,-159.75
